"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 21:50:17 GMT 2023","Sun Apr 23 21:50:24 GMT 2023","7544","test","test_conduit","TestConduit","","","Bejelentkezés - Helyes felhasználói adatokkal",""
"broken","Sun Apr 23 21:51:15 GMT 2023","Sun Apr 23 21:51:20 GMT 2023","5110","test","test_conduit","TestConduit","","","Adatok exportálása",""
"passed","Sun Apr 23 21:50:11 GMT 2023","Sun Apr 23 21:50:13 GMT 2023","2410","test","test_conduit","TestConduit","","","Regisztráció - Helyes felhasználói adatokkal",""
"broken","Sun Apr 23 21:50:25 GMT 2023","Sun Apr 23 21:50:30 GMT 2023","5110","test","test_conduit","TestConduit","","","Bejelentkezés - Helytelen felhasználói adatokkal",""
"broken","Sun Apr 23 21:50:50 GMT 2023","Sun Apr 23 21:50:55 GMT 2023","5115","test","test_conduit","TestConduit","","","Új poszt közzététele",""
"passed","Sun Apr 23 21:49:56 GMT 2023","Sun Apr 23 21:50:03 GMT 2023","6155","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"broken","Sun Apr 23 21:51:03 GMT 2023","Sun Apr 23 21:51:08 GMT 2023","5112","test","test_conduit","TestConduit","","","Komment törlése",""
"broken","Sun Apr 23 21:50:44 GMT 2023","Sun Apr 23 21:50:49 GMT 2023","5110","test","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"broken","Sun Apr 23 21:50:38 GMT 2023","Sun Apr 23 21:50:43 GMT 2023","5107","test","test_conduit","TestConduit","","","Posztok listázása",""
"passed","Sun Apr 23 21:50:15 GMT 2023","Sun Apr 23 21:50:15 GMT 2023","844","test","test_conduit","TestConduit","","","Regisztráció - Helytelen felhasználói adatokkal",""
"broken","Sun Apr 23 21:51:09 GMT 2023","Sun Apr 23 21:51:14 GMT 2023","5107","test","test_conduit","TestConduit","","","Felhasználónév módosítása",""
"passed","Sun Apr 23 21:50:04 GMT 2023","Sun Apr 23 21:50:10 GMT 2023","6143","test","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elutasítása",""
"broken","Sun Apr 23 21:50:32 GMT 2023","Sun Apr 23 21:50:37 GMT 2023","5110","test","test_conduit","TestConduit","","","Kijelentkezés",""
"broken","Sun Apr 23 21:50:57 GMT 2023","Sun Apr 23 21:51:02 GMT 2023","5112","test","test_conduit","TestConduit","","","Kommentelés sorozatos adatbeolvasással",""
